Comment,Designator,Footprint,LCSC,Quantity
1kΩ,"R1,R2,R3,R4,R5",R_0402,C11702,5
3.9nH,L1,L_0402,C14033,1
LIS3DHTR,U3,XDCR_LIS3DHTR,C15134,1
100nF,"C16,C17,C18,C4,C5,C8",C_0402,C1525,6
100pF,C7,C_0402,C1546,1
12pF,"C1,C11,C12,C13,C14,C2",C_0402,C1547,6
0.8pf,C3,C_0402,C1550,1
10uF,C19,C_0402,C15525,1
1.0uF,C10,C_0603,C15849,1
47uF,C15,C_0805,C16780,1
4.7uF,C9,C_0603,C19666,1
LED,"D1,D2,D3,D4,D5",LED_0603_1608Metric,C2290,5
10kΩ,R6,R_0402,C25744,1
DPS368,U2,LGA8S145X65P2X4_200X250X110-V,C3232508,1
32.768kHz,X2,FC-135R_L3.2-W1.5,C32346,1
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,1
~,U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm_ThermalVias,C77540,1
32MHz,X1,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,C9010,1
